provider_slug,provider_display_name,service,target_region,runs,verdict_tests,working,partial,blocked,latest_status,last_tested_utc,is_proxied
surfshark,Surfshark,netflix,DE,11,22,20,0,2,working,2026-06-25T03:34:11Z,false
surfshark,Surfshark,netflix,FR,11,22,21,0,1,working,2026-06-25T03:37:26Z,false
surfshark,Surfshark,netflix,GB,10,30,28,0,2,working,2026-06-25T03:25:52Z,false
surfshark,Surfshark,netflix,JP,11,22,22,0,0,working,2026-06-25T03:40:43Z,false
surfshark,Surfshark,netflix,US,10,30,30,0,0,working,2026-06-25T03:31:53Z,false
totalvpn,Total VPN,bbc_iplayer,GB,6,6,6,0,0,working,2026-06-25T02:28:50Z,false
totalvpn,Total VPN,disney_plus,GB,2,4,4,0,0,working,2026-06-01T21:22:16Z,false
totalvpn,Total VPN,disney_plus,US,2,4,4,0,0,working,2026-06-01T21:25:07Z,false
totalvpn,Total VPN,hulu,US,2,4,4,0,0,working,2026-06-01T21:25:07Z,true
totalvpn,Total VPN,itvx,GB,6,6,6,0,0,working,2026-06-25T02:28:55Z,false
totalvpn,Total VPN,netflix,DE,6,12,12,0,0,working,2026-06-25T02:37:15Z,false
totalvpn,Total VPN,netflix,FR,5,6,6,0,0,working,2026-06-25T02:39:44Z,false
totalvpn,Total VPN,netflix,GB,6,18,18,0,0,working,2026-06-25T02:29:17Z,false
totalvpn,Total VPN,netflix,JP,5,10,10,0,0,working,2026-06-25T02:42:20Z,false
totalvpn,Total VPN,netflix,US,6,18,18,0,0,working,2026-06-25T02:35:12Z,false
