provider_slug,provider_display_name,rank,composite_score,included_in_chart,exclusion_reason,speed_us_retention_pct__raw,speed_us_retention_pct__display,speed_us_retention_pct__points,stream_netflix_us_unblock_rate__raw,stream_netflix_us_unblock_rate__display,stream_netflix_us_unblock_rate__points,latency_us_p50_ms__raw,latency_us_p50_ms__display,latency_us_p50_ms__points,feature_chrome_extension__raw,feature_chrome_extension__display,feature_chrome_extension__points,simultaneous_connections__raw,simultaneous_connections__display,simultaneous_connections__points,feature_dedicated_ip__raw,feature_dedicated_ip__display,feature_dedicated_ip__points,stream_disney_us_unblock_rate__raw,stream_disney_us_unblock_rate__display,stream_disney_us_unblock_rate__points,overall_score
expressvpn,ExpressVPN,1,9.03,true,,85.4328360286265,85.43,1.8738820998141492,100,100,2.47,62.290000000000006,62.29,1.5513175000000001,True,Yes,0.92,7,7,0.528,True,Yes,0.48,100,100,1.21,8.09
proton,ProtonVPN,2,8.91,true,,82.0524184117393,82.05,1.7068894695399213,100,100,2.47,64.9,64.90,1.5271750000000002,True,Yes,0.92,10,10,0.6,True,Yes,0.48,100,100,1.21,7.02
surfshark,Surfshark,3,8.78,true,,79.61472776995741,79.61,1.5864675518358964,100,100,2.47,66.22,66.22,1.5149650000000001,True,Yes,0.92,999,Unlimited,0.6,True,Yes,0.48,100,100,1.21,7.95
nordvpn,NordVPN,4,8.7,true,,77.8659897706796,77.87,1.5000798946715725,100,100,2.47,65.74,65.74,1.5194050000000001,True,Yes,0.92,10,10,0.6,True,Yes,0.48,100,100,1.21,7.84
ipvanish,IPVanish,5,7.89,true,,71.0234930780851,71.02,1.162060558057404,100,100,2.47,64.92500000000001,64.93,1.52694375,True,Yes,0.92,999,Unlimited,0.6,False,No,0.0,100,100,1.21,6.78
cyberghost,CyberGhost,6,7.5,true,,78.99721824580939,79.00,1.5559625813429843,100,100,2.47,63.3775,63.38,1.5412581250000001,True,Yes,0.92,7,7,0.528,True,Yes,0.48,0,0,0.0,7.22
totalvpn,Total VPN,7,7.09,true,,81.8175667793146,81.82,1.6952877988981414,100,100,2.47,64.495,64.50,1.53092125,False,No,0.0,1,1,0.18,False,No,0.0,100,100,1.21,6.2
hotspot_shield,Hotspot Shield,,0.6,false,"incomplete data for this use case: speed_us_retention_pct, stream_netflix_us_unblock_rate, latency_us_p50_ms, stream_disney_us_unblock_rate",,,0.0,,,0.0,,,0.0,False,No,0.0,10,10,0.6,False,No,0.0,,,0.0,3.82
