provider_slug,provider_display_name,rank,composite_score,included_in_chart,exclusion_reason,stream_netflix_us_unblock_rate__raw,stream_netflix_us_unblock_rate__display,stream_netflix_us_unblock_rate__points,speed_us_retention_pct__raw,speed_us_retention_pct__display,speed_us_retention_pct__points,stream_netflix_uk_unblock_rate__raw,stream_netflix_uk_unblock_rate__display,stream_netflix_uk_unblock_rate__points,latency_us_p50_ms__raw,latency_us_p50_ms__display,latency_us_p50_ms__points,effective_monthly_price_usd__raw,effective_monthly_price_usd__display,effective_monthly_price_usd__points,overall_score,price_basis
expressvpn,ExpressVPN,1,8.44,true,,100,100,2.14,78.9015163208829,78.90,2.2420682653110395,100,100,1.43,63,63,1.1940499999999998,2.49,2.49,1.43,8.1,intro_monthly_equivalent
surfshark,Surfshark,2,8.39,true,,100,100,2.14,78.5919606234156,78.59,2.219965988511874,100,100,1.43,66.11500000000001,66.12,1.17177775,1.99,1.99,1.43,7.95,intro_monthly_equivalent
proton,ProtonVPN,3,8.37,true,,100,100,2.14,79.3133419620316,79.31,2.2714726160890564,100,100,1.43,64.86,64.86,1.1807509999999999,2.99,2.99,1.345916,7.01,intro_monthly_equivalent
nordvpn,NordVPN,4,8.33,true,,100,100,2.14,79.0966337113323,79.10,2.2559996469891264,100,100,1.43,65.42,65.42,1.176747,3.09,3.09,1.328756,7.84,intro_monthly_equivalent
cyberghost,CyberGhost,5,8.26,true,,100,100,2.14,76.4363043455964,76.44,2.0660521302755828,100,100,1.43,63.295,63.30,1.19194075,1.59,1.59,1.43,8.08,intro_monthly_equivalent
totalvpn,Total VPN,6,7.88,true,,100,100,2.14,81.22155857998081,81.22,2.4077192826106297,100,100,1.43,64.5425,64.54,1.1830211249999998,8.25,8.25,0.72215,6.08,intro_monthly_equivalent
ipvanish,IPVanish,7,7.86,true,,100,100,2.14,70.9577478917175,70.96,1.6748831994686297,100,100,1.43,64.92,64.92,1.1803219999999999,2.19,2.19,1.43,6.78,intro_monthly_equivalent
hotspot_shield,Hotspot Shield,,0.74,false,"incomplete data for this use case: stream_netflix_us_unblock_rate, speed_us_retention_pct, stream_netflix_uk_unblock_rate, latency_us_p50_ms",,,0.0,,,0.0,,,0.0,,,0.0,7.99,7.99,0.744458,3.82,intro_monthly_equivalent
