provider_slug,provider_display_name,rank,composite_score,included_in_chart,exclusion_reason,stream_bbc_iplayer_unblock_rate__raw,stream_bbc_iplayer_unblock_rate__display,stream_bbc_iplayer_unblock_rate__points,speed_uk_retention_pct__raw,speed_uk_retention_pct__display,speed_uk_retention_pct__points,stream_netflix_uk_unblock_rate__raw,stream_netflix_uk_unblock_rate__display,stream_netflix_uk_unblock_rate__points,latency_uk_p50_ms__raw,latency_uk_p50_ms__display,latency_uk_p50_ms__points,effective_monthly_price_usd__raw,effective_monthly_price_usd__display,effective_monthly_price_usd__points,overall_score,price_basis
proton,ProtonVPN,1,9.49,true,,100,100,2.14,92.1074072826505,92.11,3.147351659985934,100,100,1.43,0.885,0.89,1.4274688999999998,2.99,2.99,1.345916,7.0,intro_monthly_equivalent
expressvpn,ExpressVPN,2,9.48,true,,100,100,2.14,90.26105024481281,90.26,3.0484792406097254,100,100,1.43,0.84,0.84,1.4275976,2.49,2.49,1.43,8.09,intro_monthly_equivalent
ipvanish,IPVanish,3,9.42,true,,100,100,2.14,89.4648584347438,89.46,2.996290892240707,100,100,1.43,0.85,0.85,1.4275689999999999,2.19,2.19,1.43,6.73,intro_monthly_equivalent
surfshark,Surfshark,4,9.2,true,,100,100,2.14,86.3852554111541,86.39,2.776407236356403,100,100,1.43,0.79,0.79,1.4277406,1.99,1.99,1.43,7.88,intro_monthly_equivalent
nordvpn,NordVPN,5,9.07,true,,100,100,2.14,85.9058563740404,85.91,2.742178145106484,100,100,1.43,0.74,0.74,1.4278836,3.09,3.09,1.328756,7.89,intro_monthly_equivalent
totalvpn,Total VPN,6,8.85,true,,100,100,2.14,91.8389079414416,91.84,3.1329735202641977,100,100,1.43,0.94,0.94,1.4273116,8.25,8.25,0.72215,6.1,intro_monthly_equivalent
cyberghost,CyberGhost,,7.46,false,fails this use case's core service: 0% on BBC iPlayer unblock rate (n=5),0,0,0.0,92.568434167976,92.57,3.1720396496951144,100,100,1.43,0.785,0.79,1.4277549,1.59,1.59,1.43,7.22,intro_monthly_equivalent
hotspot_shield,Hotspot Shield,,0.74,false,"incomplete data for this use case: stream_bbc_iplayer_unblock_rate, speed_uk_retention_pct, stream_netflix_uk_unblock_rate, latency_uk_p50_ms",,,0.0,,,0.0,,,0.0,,,0.0,7.99,7.99,0.744458,3.82,intro_monthly_equivalent
