provider_slug,provider_display_name,service,target_region,runs,verdict_tests,working,partial,blocked,latest_status,last_tested_utc,is_proxied
surfshark,Surfshark,netflix,DE,4,8,8,0,0,working,2026-06-12T14:33:11Z,false
surfshark,Surfshark,netflix,FR,4,8,8,0,0,working,2026-06-12T14:35:30Z,false
surfshark,Surfshark,netflix,GB,4,12,12,0,0,working,2026-06-12T14:25:36Z,false
surfshark,Surfshark,netflix,JP,4,8,8,0,0,working,2026-06-12T14:39:23Z,false
surfshark,Surfshark,netflix,US,4,12,12,0,0,working,2026-06-12T14:30:11Z,false
totalvpn,Total VPN,bbc_iplayer,GB,2,2,2,0,0,working,2026-06-10T16:55:38Z,false
totalvpn,Total VPN,disney_plus,GB,2,2,2,0,0,error,2026-06-10T16:56:09Z,false
totalvpn,Total VPN,disney_plus,US,2,2,2,0,0,error,2026-06-10T17:00:08Z,false
totalvpn,Total VPN,hulu,US,2,2,2,0,0,error,2026-06-10T17:00:08Z,true
totalvpn,Total VPN,itvx,GB,2,2,2,0,0,working,2026-06-10T16:55:44Z,false
totalvpn,Total VPN,netflix,DE,2,4,4,0,0,working,2026-06-10T17:01:53Z,false
totalvpn,Total VPN,netflix,FR,1,1,1,0,0,working,2026-06-01T21:29:23Z,false
totalvpn,Total VPN,netflix,GB,2,6,6,0,0,working,2026-06-10T16:56:04Z,false
totalvpn,Total VPN,netflix,JP,1,2,2,0,0,working,2026-06-01T21:32:31Z,false
totalvpn,Total VPN,netflix,US,2,6,6,0,0,working,2026-06-10T17:00:02Z,false
